eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832313,281,10005,10005,-6,5956.3115,3021.9546,96,0.129999995231628,0.0500000007450581,4689139,41.995,-1,-0.0500000007450581,-0.100000001490116,-0.0599999986588955,2016-10-09 08:18:12+03,2016-10-24 14:57:39.867+03,True
10832314,280,10005,10005,-8,5956.3143,3021.8977,98,0.109999999403954,0.0399999991059303,4689140,47.175,-1,0.0799999982118607,-0.0399999991059303,0.0599999986588955,2016-10-09 08:18:15+03,2016-10-24 14:57:42.861+03,True
10832315,281,10005,10005,-8,5956.3153,3021.8829,98,0.150000005960464,0.0500000007450581,4689141,48.285,-1,0.0599999986588955,-0.129999995231628,0,2016-10-09 08:18:16+03,2016-10-24 14:57:42.861+03,True
10832316,280,10005,10005,-9,5956.3184,3021.8434,97,0.119999997317791,0.0399999991059303,4689142,40.515,-1,0,0.119999997317791,0.0299999993294477,2016-10-09 08:18:19+03,2016-10-24 14:57:42.861+03,True
10832317,281,10005,10005,-10,5956.3191,3021.8342,88,0.109999999403954,0.0299999993294477,4689143,30.155,0,-0.0799999982118607,0.0399999991059303,-0.0700000002980232,2016-10-09 08:18:20+03,2016-10-24 14:57:42.861+03,True
10832318,104,10005,10005,-11,5956.3192,3021.8194,92,0.0700000002980232,0.0299999993294477,4689144,1.11,-1,0.0399999991059303,-0.0599999986588955,-0.00999999977648258,2016-10-09 08:18:26+03,2016-10-24 14:57:42.861+03,True
10832319,0,10005,10005,-11,5956.3192,3021.8194,96,0.0700000002980232,0.0299999993294477,4689145,0.555,-1,0.0500000007450581,-0.0500000007450581,0,2016-10-09 08:18:30+03,2016-10-24 14:57:42.861+03,True
10832320,191,10005,10005,-11,5956.3192,3021.8194,97,0.0900000035762787,0.0299999993294477,4689146,0.555,-1,-0.00999999977648258,-0.0799999982118607,-0.0299999993294477,2016-10-09 08:18:44+03,2016-10-24 14:57:42.861+03,True
10832321,259,10005,10005,-11,5956.3192,3021.8194,104,0.0900000035762787,0.0399999991059303,4689147,4.07,-1,0,0.0700000002980232,-0.0500000007450581,2016-10-09 08:18:46+03,2016-10-24 14:57:42.861+03,True
10832322,270,10005,10005,-11,5956.319,3021.8155,105,0.109999999403954,0.0399999991059303,4689148,11.47,-1,-0.0199999995529652,0.0500000007450581,-0.0900000035762787,2016-10-09 08:18:47+03,2016-10-24 14:57:42.861+03,True
10832323,280,10005,10005,-11,5956.3194,3021.8105,105,0.0900000035762787,0.0399999991059303,4689149,16.65,-1,0.00999999977648258,-0.0199999995529652,0.0900000035762787,2016-10-09 08:18:49+03,2016-10-24 14:57:42.861+03,True
10832324,275,10005,10005,-12,5956.3219,3021.7839,103,0.129999995231628,0.0500000007450581,4689150,15.54,-2,0.0199999995529652,0.100000001490116,0.0799999982118607,2016-10-09 08:18:53+03,2016-10-24 14:57:42.861+03,True
